No,Category,Intensity Tier,Keywords,Trigger,Duration,Easing,GSAP Snippet,Framework Notes,Do,Don't,Performance Notes
11,Page Transition,Standard,"route change, slide, overlay wipe",route change,400-600ms,power2.inOut,"const tl = gsap.timeline(); tl.to('.transition-overlay', { yPercent: 0, duration: 0.4, ease: 'power2.inOut' }).call(navigate).to('.transition-overlay', { yPercent: -100, duration: 0.4, ease: 'power2.inOut', delay: 0.1 });",Keep the overlay element mounted at the layout root (outside the page component) so it survives the route swap,Show a lightweight loading indicator if the destination route's data fetch outlasts the overlay,Don't tie the overlay's reveal directly to data-fetch completion without a max-wait timeout; a slow API stalls the whole transition,Prefer CSS transform (yPercent) over top/left to keep the overlay animation on the compositor thread
12,Page Transition,Complex,"shared element, morph, hero transition",route change,500-800ms,expo.inOut,"const state = Flip.getState('.hero-image'); navigate(); Flip.from(state, { duration: 0.6, ease: 'expo.inOut', absolute: true, zIndex: 100 });",Requires the GSAP Flip plugin; the 'from' and 'to' route must render the same element with a shared data-flip-id,Verify the shared element exists in both DOM states before calling Flip.from to avoid a silent no-op,Don't use shared-element transitions across more than one element pair per navigation; compounding Flips are hard to time correctly,Flip recalculates layout (FLIP technique) so test on low-end devices for jank
13,Parallax Scroll,Subtle,"parallax, background, depth, scroll speed",scroll (continuous),tied to scroll position,linear (scrub),"gsap.to('.bg-layer', { yPercent: 10, ease: 'none', scrollTrigger: { trigger: section, scrub: true } });","Apply parallax to background/decorative layers only, never to text or interactive controls",Keep the yPercent delta small (5-15) so foreground and background never desync distractingly,Don't parallax body copy; it hurts reading comfort and can trigger motion sickness,will-change: transform on the parallax layer only; remove it after scroll settles to free GPU memory
14,Parallax Scroll,Standard,"multi-layer parallax, depth, hero background",scroll (continuous),tied to scroll position,linear (scrub),"gsap.utils.toArray('.parallax-layer').forEach((layer, i) => { gsap.to(layer, { yPercent: (i + 1) * -8, ease: 'none', scrollTrigger: { trigger: layer.parentElement, scrub: 0.5 } }); });",Layer count beyond 3-4 has diminishing visual return and multiplies scroll-listener cost,"Vary speed per layer (background slowest, foreground fastest) to sell the depth illusion",Don't let parallax layers overflow their container; clip with overflow: hidden on the wrapper,Batch all layers under one ScrollTrigger container where possible instead of one per layer
15,Loading / Skeleton,Subtle,"loading, skeleton, shimmer, pulse",on mount / async wait,1200-1600ms loop,sine.inOut,"gsap.to('.skeleton', { backgroundPosition: '200% 0', duration: 1.4, ease: 'sine.inOut', repeat: -1 });",Kill the loop tween (tween.kill()) as soon as real content mounts to avoid orphaned repeating animations,Use a CSS gradient background-position sweep rather than opacity pulsing; reads as 'loading' more clearly,Don't run more than one shimmer loop per skeleton group; sync them under one timeline so the wave reads as a single unit,repeat: -1 tweens are cheap but must be explicitly killed on unmount or they leak in SPA route changes
16,Loading / Skeleton,Standard,"progress, spinner, morphing loader",on mount / async wait,800-1200ms loop,power1.inOut,"gsap.timeline({ repeat: -1 }).to('.loader-dot', { y: -8, duration: 0.4, stagger: { each: 0.15, yoyo: true, repeat: 1 } });",Wrap the whole loop timeline in useGSAP with { revertOnUpdate: false } in React so it isn't rebuilt every render,Cap total loop duration under ~1.5s so long waits don't feel like the UI froze on a single beat,Don't use elaborate loaders for sub-300ms waits; they flash and feel worse than no indicator,Pause the timeline (tl.pause()) when the loading tab/view is not visible to save CPU on background tabs
17,Border Beam Loop,Moderate,"border beam, animated border, rotating gradient outline, glowing edge",on mount / continuous,3-5s loop,linear (continuous rotation),"gsap.to(el, { '--angle': '360deg', duration: 4, repeat: -1, ease: 'none' });","Drive a CSS custom property (--angle) consumed by a conic-gradient mask; GSAP just tweens the number so it stays GPU-cheap. In React, set once in useEffect on mount.",Use on 1-2 featured elements max per screen; pair with mask-composite:exclude so only the border ring is visible,Don't run on every card in a grid — becomes visual noise and adds up in paint cost,"Animates a custom property + conic-gradient, not layout — cheap, but keep to a handful of concurrent instances"
18,Spotlight Cursor Follow,Moderate,"spotlight, cursor-follow glow, radial highlight, mouse tracking",mousemove (throttled),instant (position) + 300ms fade,power2.out,"gsap.to(el, { '--x': e.clientX - rect.left, '--y': e.clientY - rect.top, duration: 0.3, ease: 'power2.out', overwrite: true });",Update CSS custom properties consumed by a radial-gradient background rather than animating background-position directly — keeps it on a fast path. overwrite:true prevents tween queue buildup on rapid mousemove.,Throttle mousemove with rAF or a short GSAP tween (overwrite:true) so you're not creating hundreds of tweens per second,Don't bind directly without overwrite/throttle — naive mousemove-to-gsap.to() binding will queue and lag,Custom-property + radial-gradient keeps it compositor-friendly; still skip entirely on touch devices (no cursor)
19,Marquee Infinite Scroll,Subtle,"marquee, logo cloud, infinite scroll, ticker, auto-scrolling row","on mount, loops continuously",20-40s per full cycle,none (linear),"gsap.to(el, { xPercent: -50, duration: 30, ease: 'none', repeat: -1 });",Duplicate the row's content exactly once so xPercent:-50 loops seamlessly; pause with gsap.globalTimeline.pause() or tween.pause() on hover instead of removing the tween.,Pause on hover/focus (tween.pause()/play()) for readability and WCAG 2.2.2 compliance,Don't animate left/margin-left for the scroll — use transform (xPercent) so it stays off the main thread,transform-only animation; duplicate DOM content adds some memory but keeps the loop seamless and cheap to animate
20,3D Tilt on Hover,Moderate,"3D tilt, perspective card, parallax hover, depth card",mousemove within card bounds,400ms return on leave,"power3.out (return), power1.out (follow)","gsap.to(card, { rotateX: py * -10, rotateY: px * 10, duration: 0.4, ease: 'power1.out', transformPerspective: 800 });","Compute px/py as -1..1 from cursor position relative to card center; on mouseleave, tween rotateX/rotateY back to 0 with a springier ease (power3.out) for a natural settle.","Cap rotation to 10-15deg and always tween back to 0,0 on mouseleave/touchend so the card never gets stuck tilted",Don't skip the perspective/transformPerspective setup — without it rotateX/Y look flat instead of 3D,3D transforms stay on the compositor; the cost is mostly the mousemove handler — throttle or use pointer events with rAF
21,Meteor Shower Ambient Loop,Subtle,"meteor shower, shooting stars, ambient background particles","on mount, staggered infinite loop","2-5s per meteor, randomized",power1.in,"gsap.fromTo(meteor, { x: 0, y: 0, opacity: 1 }, { x: 400, y: 400, opacity: 0, duration: gsap.utils.random(2,5), delay: gsap.utils.random(0,8), repeat: -1, ease: 'power1.in' });",Randomize duration/delay per meteor element via gsap.utils.random so the loop doesn't look mechanically synchronized; keep the particle count low (10-20) on mobile.,Randomize start delay per particle so the pattern doesn't visibly repeat every cycle,Don't run 30+ meteors simultaneously on mobile — reduce count via matchMedia for smaller viewports,"Pure transform+opacity tweens are cheap individually, but cost scales linearly with particle count — cap it, especially on mobile"
22,Confetti Burst on Success,Bold,"confetti, celebration burst, success feedback, particle explosion",click / success event (one-shot),"2-3s total, particles staggered",power1.out (initial burst) + gravity via custom tick,"gsap.to(particles, { y: '+=400', x: (i)=>gsap.utils.random(-200,200), rotation: 720, opacity: 0, duration: 2.5, stagger: 0.01, ease: 'power1.out' });","Fire once per genuine success event, not on every click; clean up (remove particle elements or kill the tween) after it completes to avoid DOM/tween buildup on repeated triggers.",Kill/remove particles after the tween completes (onComplete) so repeated bursts don't leak elements,Don't trigger confetti on frequent/minor actions — it loses impact and adds unnecessary animation load,One-shot burst of transform+opacity tweens; the only real cost risk is not cleaning up particles between triggers
23,Command Palette Open/Close,Snappy,"command palette, cmdk, modal entrance, spotlight search",keyboard shortcut (Cmd/Ctrl+K) or click,150-200ms,"power2.out (in), power2.in (out)","gsap.fromTo(panel, { scale: 0.96, opacity: 0 }, { scale: 1, opacity: 1, duration: 0.18, ease: 'power2.out' });",Animate the panel with scale+opacity only (never layout props); animate the backdrop opacity in parallel with a slightly longer duration so it reads as a cohesive open.,"Trap focus inside the panel for the duration it's open, and animate scale/opacity only — never width/height","Don't skip the reverse (close) animation — an abrupt unmount reads as a bug, not a feature","Cheap transform+opacity tween; the real perf risk is the fuzzy-search filtering, not the open/close animation"
